City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,port elizabeth,-33.918,25.5701,62.1,98,100,18.41,ZA,2023-10-06 12:52:49
69,oranjemund,-28.55,16.4333,60.31,83,1,8.99,NA,2023-10-06 12:52:49
70,tarnova,46.3167,21.8,62.74,46,7,2.33,RO,2023-10-06 12:52:49
71,eyl,7.9803,49.8164,83.86,70,5,18.34,SO,2023-10-06 12:52:49
72,puerto ayora,-0.7393,-90.3518,85.96,86,46,7.0,EC,2023-10-06 12:52:49
73,atherton,53.5237,-2.4935,67.21,86,100,1.99,GB,2023-10-06 12:52:50
74,peace river,56.2501,-117.286,48.51,66,75,8.05,CA,2023-10-06 12:52:50
75,marsa alam,25.0757,34.8918,84.18,62,1,13.62,EG,2023-10-06 12:48:19
76,pasuquin,18.3328,120.6177,78.49,80,100,5.37,PH,2023-10-06 12:52:50
77,albany,42.6001,-73.9662,72.18,85,100,3.0,US,2023-10-06 12:52:50
78,mount pearl,47.5166,-52.7813,58.44,92,100,4.61,CA,2023-10-06 12:52:50
79,machico,32.7,-16.7667,89.71,76,20,11.5,PT,2023-10-06 12:52:50
80,badger,64.8,-147.5333,31.98,95,75,8.05,US,2023-10-06 12:52:51
81,mhamid,29.82,-5.72,85.93,12,95,16.31,MA,2023-10-06 12:52:51
82,polonnaruwa,7.9333,81.0,79.09,82,81,5.28,LK,2023-10-06 12:52:51
83,taltal,-25.4,-70.4833,61.27,65,46,7.14,CL,2023-10-06 12:52:51
84,touros,-5.1989,-35.4608,84.61,65,99,16.62,BR,2023-10-06 12:52:51
85,dul'durga,50.6761,113.5931,46.27,75,100,4.47,RU,2023-10-06 12:52:52
86,mantua,45.1667,10.7833,77.99,70,45,4.61,IT,2023-10-06 12:52:52
87,mount gambier,-37.8333,140.7667,47.35,72,53,4.94,AU,2023-10-06 12:48:27
88,axim,4.8699,-2.2405,80.02,81,97,9.1,GH,2023-10-06 12:52:52
89,ertil',51.8406,40.8056,49.86,62,62,14.29,RU,2023-10-06 12:52:52
90,celestun,20.8667,-90.4,88.61,63,12,6.42,MX,2023-10-06 12:52:52
91,port blair,11.6667,92.75,77.04,94,100,2.3,IN,2023-10-06 12:52:53
92,lepsy,46.235,78.9456,63.1,46,100,11.27,KZ,2023-10-06 12:52:53
93,richards bay,-28.783,32.0377,71.69,82,4,15.28,ZA,2023-10-06 12:52:53
94,namdrik,5.5994,168.1028,83.28,74,83,3.71,MH,2023-10-06 12:52:53
95,lebu,-37.6167,-73.65,52.03,84,83,7.85,CL,2023-10-06 12:49:05
96,kayyerkan,69.3786,87.7439,34.3,100,100,24.36,RU,2023-10-06 12:52:53
97,nova sintra,14.8667,-24.7167,75.36,74,81,3.58,CV,2023-10-06 12:52:54
98,mohr,54.3528,9.7167,60.96,97,75,26.46,DE,2023-10-06 12:52:54
99,bardai,11.65,7.2333,82.62,47,46,8.14,NG,2023-10-06 12:52:54
100,tanjung pinang,0.9167,104.45,82.44,77,31,8.66,ID,2023-10-06 12:52:54
101,nuuk,64.1835,-51.7216,38.01,100,100,65.59,GL,2023-10-06 12:49:50
102,storm lake,42.6411,-95.2097,46.44,65,0,24.16,US,2023-10-06 12:52:55
103,kholmsk,47.0511,142.0569,48.7,78,100,14.38,RU,2023-10-06 12:52:55
104,west island,-12.1568,96.8225,78.78,83,40,8.05,CC,2023-10-06 12:52:55
105,itaituba,-4.2761,-55.9836,95.16,59,40,4.54,BR,2023-10-06 12:52:55
106,visakhapatnam,17.69,83.2093,82.29,94,20,2.3,IN,2023-10-06 12:52:55
107,kanniyakumari,8.0833,77.5667,80.4,87,89,14.03,IN,2023-10-06 12:52:55
108,isafjordur,66.0755,-23.124,41.04,60,75,3.44,IS,2023-10-06 12:52:55
109,luderitz,-26.6481,15.1594,61.54,69,0,19.75,NA,2023-10-06 12:49:35
110,hammerfest,70.6634,23.6821,34.25,93,75,1.14,NO,2023-10-06 12:52:56
111,hawaiian paradise park,19.5933,-154.9731,72.03,83,100,5.75,US,2023-10-06 12:52:56
112,mogadishu,2.0371,45.3438,80.02,83,20,14.63,SO,2023-10-06 12:52:56
113,byron bay,-28.65,153.6167,58.71,74,48,9.57,AU,2023-10-06 12:51:46
114,tindouf,27.6711,-8.1474,93.65,16,96,14.97,DZ,2023-10-06 12:52:56
115,jamestown,42.097,-79.2353,69.03,79,75,5.99,US,2023-10-06 12:52:21
116,ribeira grande,38.5167,-28.7,72.0,64,20,20.71,PT,2023-10-06 12:52:57
117,burang,30.25,81.1667,44.19,78,36,4.88,CN,2023-10-06 12:52:57
118,barah,13.7,30.3667,95.67,23,50,6.55,SD,2023-10-06 12:52:57
119,arraial do cabo,-22.9661,-42.0278,82.36,74,40,10.36,BR,2023-10-06 12:50:25
120,meadow lake,34.8014,-106.5436,74.14,43,18,7.2,US,2023-10-06 12:52:58
121,fredonia,42.4401,-79.3317,71.06,71,40,10.36,US,2023-10-06 12:52:58
122,nouadhibou,20.931,-17.0347,72.64,78,5,14.52,MR,2023-10-06 12:52:58
123,bredasdorp,-34.5322,20.0403,58.5,96,100,15.73,ZA,2023-10-06 12:52:58
124,raja,8.4596,25.678,81.9,64,45,2.3,SS,2023-10-06 12:52:58
125,wailua homesteads,22.0669,-159.378,77.43,94,100,4.61,US,2023-10-06 12:49:14
126,seven pagodas,12.6264,80.1722,84.25,80,70,7.52,IN,2023-10-06 12:52:59
127,iskateley,67.6803,53.1512,39.02,78,22,21.0,RU,2023-10-06 12:52:59
128,hakha,22.65,93.6167,59.54,99,100,2.3,MM,2023-10-06 12:52:59
129,key largo,25.0865,-80.4473,87.01,66,44,4.14,US,2023-10-06 12:49:24
130,tiksi,71.6872,128.8694,18.18,92,95,7.4,RU,2023-10-06 12:53:00
131,slavyanka,42.8633,131.3847,48.97,62,5,9.82,RU,2023-10-06 12:53:00
132,christiana,-27.914,25.1611,79.97,6,11,11.16,ZA,2023-10-06 12:53:00
133,rio grande,-32.035,-52.0986,80.71,71,49,8.95,BR,2023-10-06 12:53:00
134,tofol,5.3248,163.0078,80.29,87,100,25.19,FM,2023-10-06 12:53:00
135,codrington,-38.2667,141.9667,48.33,72,72,3.89,AU,2023-10-06 12:53:00
136,roma,43.2128,-75.4557,73.81,81,100,9.22,US,2023-10-06 12:53:01
137,biltine,14.5333,20.9167,97.2,18,98,5.75,TD,2023-10-06 12:53:01
138,nadi,-17.8,177.4167,64.4,77,20,5.75,FJ,2023-10-06 12:50:23
139,bemidji,47.4736,-94.8803,46.06,83,100,17.27,US,2023-10-06 12:49:47
140,howard springs,-12.497,131.047,82.31,79,58,3.8,AU,2023-10-06 12:53:01
141,vilyuysk,63.7553,121.6247,30.0,98,99,5.99,RU,2023-10-06 12:53:01
142,kolonia,50.9333,6.95,66.25,64,0,3.44,DE,2023-10-06 12:50:22
